Birth: Speed: 8.00 | Color: (np.int64(186), np.int64(105), np.int64(238))
Birth: Speed: 2.84 | Color: (np.int64(232), np.int64(50), np.int64(249))
Birth: Speed: 0.53 | Color: (np.int64(185), np.int64(185), np.int64(153))
Birth: Speed: 0.86 | Color: (np.int64(179), np.int64(186), np.int64(105))
Birth: Speed: 4.06 | Color: (np.int64(170), np.int64(114), np.int64(55))
Birth: Speed: 4.17 | Color: (np.int64(192), np.int64(81), np.int64(255))
Birth: Speed: 7.89 | Color: (np.int64(113), np.int64(196), np.int64(112))
Birth: Speed: 2.84 | Color: (np.int64(60), np.int64(241), np.int64(192))
Birth: Speed: 1.91 | Color: (np.int64(150), np.int64(74), np.int64(182))
Birth: Speed: 1.33 | Color: (np.int64(173), np.int64(195), np.int64(239))
Birth: Speed: 8.18 | Color: (np.int64(190), np.int64(114), np.int64(238))
Birth: Speed: 3.36 | Color: (np.int64(225), np.int64(50), np.int64(252))
Birth: Speed: 0.54 | Color: (np.int64(172), np.int64(170), np.int64(138))
Birth: Speed: 1.01 | Color: (np.int64(175), np.int64(197), np.int64(104))
Birth: Speed: 4.35 | Color: (np.int64(155), np.int64(117), np.int64(50))
Birth: Speed: 4.26 | Color: (np.int64(183), np.int64(67), np.int64(255))
Birth: Speed: 8.00 | Color: (np.int64(100), np.int64(201), np.int64(118))
Birth: Speed: 2.90 | Color: (np.int64(50), np.int64(229), np.int64(197))
Birth: Speed: 2.01 | Color: (np.int64(161), np.int64(84), np.int64(179))
Birth: Speed: 1.31 | Color: (np.int64(167), np.int64(186), np.int64(235))
Birth: Speed: 13.12 | Color: (np.int64(188), np.int64(118), np.int64(245))
Birth: Speed: 3.53 | Color: (np.int64(220), np.int64(50), np.int64(246))
Birth: Speed: 0.50 | Color: (np.int64(171), np.int64(158), np.int64(133))
Birth: Speed: 1.10 | Color: (np.int64(170), np.int64(197), np.int64(119))
Birth: Speed: 3.98 | Color: (np.int64(142), np.int64(118), np.int64(61))
Birth: Speed: 3.17 | Color: (np.int64(183), np.int64(80), np.int64(245))
Birth: Speed: 6.38 | Color: (np.int64(108), np.int64(213), np.int64(130))
Birth: Speed: 3.28 | Color: (np.int64(50), np.int64(241), np.int64(184))
Birth: Speed: 2.14 | Color: (np.int64(167), np.int64(83), np.int64(171))
Birth: Speed: 2.08 | Color: (np.int64(156), np.int64(173), np.int64(250))
Birth: Speed: 8.00 | Color: (np.int64(192), np.int64(104), np.int64(255))
Birth: Speed: 3.68 | Color: (np.int64(208), np.int64(50), np.int64(244))
Birth: Speed: 0.50 | Color: (np.int64(182), np.int64(166), np.int64(128))
Birth: Speed: 1.20 | Color: (np.int64(181), np.int64(198), np.int64(108))
Birth: Speed: 4.77 | Color: (np.int64(133), np.int64(125), np.int64(55))
Birth: Speed: 3.50 | Color: (np.int64(178), np.int64(66), np.int64(253))
Birth: Speed: 6.72 | Color: (np.int64(104), np.int64(209), np.int64(135))
Birth: Speed: 3.05 | Color: (np.int64(57), np.int64(255), np.int64(185))
Birth: Speed: 1.86 | Color: (np.int64(176), np.int64(92), np.int64(161))
Birth: Speed: 2.10 | Color: (np.int64(157), np.int64(186), np.int64(240))
Birth: Speed: 6.78 | Color: (np.int64(205), np.int64(117), np.int64(248))
Birth: Speed: 3.53 | Color: (np.int64(201), np.int64(58), np.int64(232))
Birth: Speed: 0.54 | Color: (np.int64(171), np.int64(172), np.int64(126))
Birth: Speed: 1.25 | Color: (np.int64(174), np.int64(183), np.int64(113))
Birth: Speed: 4.61 | Color: (np.int64(122), np.int64(130), np.int64(50))
Birth: Speed: 3.21 | Color: (np.int64(182), np.int64(67), np.int64(251))
Birth: Speed: 6.26 | Color: (np.int64(92), np.int64(213), np.int64(129))
Birth: Speed: 3.42 | Color: (np.int64(58), np.int64(255), np.int64(196))
Birth: Speed: 1.86 | Color: (np.int64(173), np.int64(80), np.int64(160))
Birth: Speed: 1.96 | Color: (np.int64(167), np.int64(176), np.int64(232))
Birth: Speed: 6.62 | Color: (np.int64(217), np.int64(114), np.int64(239))
Birth: Speed: 3.50 | Color: (np.int64(215), np.int64(69), np.int64(220))
Birth: Speed: 0.55 | Color: (np.int64(182), np.int64(181), np.int64(117))
Birth: Speed: 1.44 | Color: (np.int64(185), np.int64(181), np.int64(105))
Birth: Speed: 4.13 | Color: (np.int64(113), np.int64(133), np.int64(50))
Birth: Speed: 2.87 | Color: (np.int64(185), np.int64(61), np.int64(245))
Birth: Speed: 6.93 | Color: (np.int64(78), np.int64(212), np.int64(128))
Birth: Speed: 3.29 | Color: (np.int64(53), np.int64(255), np.int64(189))
Birth: Speed: 1.64 | Color: (np.int64(183), np.int64(81), np.int64(160))
Birth: Speed: 2.07 | Color: (np.int64(180), np.int64(185), np.int64(227))
Birth: Speed: 7.46 | Color: (np.int64(227), np.int64(121), np.int64(229))
Birth: Speed: 3.38 | Color: (np.int64(225), np.int64(73), np.int64(217))
Birth: Speed: 0.50 | Color: (np.int64(187), np.int64(194), np.int64(123))
Birth: Speed: 1.50 | Color: (np.int64(194), np.int64(190), np.int64(114))
Birth: Speed: 4.16 | Color: (np.int64(108), np.int64(126), np.int64(63))
Birth: Speed: 3.24 | Color: (np.int64(185), np.int64(59), np.int64(232))
Birth: Speed: 7.72 | Color: (np.int64(64), np.int64(205), np.int64(134))
Birth: Speed: 2.98 | Color: (np.int64(56), np.int64(240), np.int64(190))
Birth: Speed: 1.75 | Color: (np.int64(192), np.int64(81), np.int64(151))
Birth: Speed: 3.60 | Color: (np.int64(192), np.int64(192), np.int64(240))
Birth: Speed: 8.00 | Color: (np.int64(212), np.int64(131), np.int64(240))
Birth: Speed: 3.52 | Color: (np.int64(220), np.int64(88), np.int64(232))
Birth: Speed: 0.50 | Color: (np.int64(198), np.int64(198), np.int64(111))
Birth: Speed: 1.55 | Color: (np.int64(201), np.int64(183), np.int64(110))
Birth: Speed: 4.70 | Color: (np.int64(114), np.int64(129), np.int64(50))
Birth: Speed: 3.52 | Color: (np.int64(189), np.int64(65), np.int64(225))
Birth: Speed: 7.25 | Color: (np.int64(63), np.int64(208), np.int64(135))
Birth: Speed: 3.38 | Color: (np.int64(67), np.int64(248), np.int64(199))
Birth: Speed: 1.88 | Color: (np.int64(193), np.int64(84), np.int64(143))
Birth: Speed: 2.93 | Color: (np.int64(193), np.int64(198), np.int64(230))
Birth: Speed: 7.76 | Color: (np.int64(199), np.int64(146), np.int64(244))
Birth: Speed: 3.65 | Color: (np.int64(223), np.int64(77), np.int64(230))
Birth: Speed: 0.50 | Color: (np.int64(204), np.int64(192), np.int64(101))
Birth: Speed: 1.23 | Color: (np.int64(196), np.int64(198), np.int64(105))
Birth: Speed: 4.55 | Color: (np.int64(119), np.int64(142), np.int64(50))
Birth: Speed: 2.82 | Color: (np.int64(182), np.int64(61), np.int64(232))
Birth: Speed: 5.70 | Color: (np.int64(75), np.int64(204), np.int64(121))
Birth: Speed: 2.75 | Color: (np.int64(72), np.int64(238), np.int64(212))
Birth: Speed: 1.98 | Color: (np.int64(181), np.int64(73), np.int64(136))
Birth: Speed: 4.77 | Color: (np.int64(188), np.int64(212), np.int64(224))
Birth: Speed: 10.32 | Color: (np.int64(213), np.int64(131), np.int64(255))
Birth: Speed: 4.50 | Color: (np.int64(209), np.int64(73), np.int64(222))
Birth: Speed: 0.50 | Color: (np.int64(205), np.int64(190), np.int64(100))
Birth: Speed: 1.12 | Color: (np.int64(205), np.int64(191), np.int64(98))
Birth: Speed: 3.47 | Color: (np.int64(115), np.int64(142), np.int64(50))
Birth: Speed: 2.60 | Color: (np.int64(192), np.int64(50), np.int64(217))
Birth: Speed: 5.76 | Color: (np.int64(88), np.int64(206), np.int64(123))
Birth: Speed: 2.57 | Color: (np.int64(73), np.int64(246), np.int64(208))
Birth: Speed: 1.73 | Color: (np.int64(191), np.int64(60), np.int64(127))
Birth: Speed: 4.98 | Color: (np.int64(178), np.int64(209), np.int64(233))
Birth: Speed: 8.00 | Color: (np.int64(209), np.int64(116), np.int64(246))
Birth: Speed: 4.66 | Color: (np.int64(207), np.int64(87), np.int64(233))
Birth: Speed: 0.80 | Color: (np.int64(218), np.int64(203), np.int64(86))
Birth: Speed: 1.09 | Color: (np.int64(219), np.int64(191), np.int64(94))
Birth: Speed: 2.69 | Color: (np.int64(114), np.int64(137), np.int64(51))
Birth: Speed: 2.23 | Color: (np.int64(182), np.int64(60), np.int64(205))
Birth: Speed: 3.48 | Color: (np.int64(94), np.int64(213), np.int64(138))
Birth: Speed: 3.03 | Color: (np.int64(58), np.int64(248), np.int64(212))
Birth: Speed: 1.64 | Color: (np.int64(206), np.int64(73), np.int64(126))
Birth: Speed: 5.68 | Color: (np.int64(187), np.int64(196), np.int64(220))
Birth: Speed: 8.00 | Color: (np.int64(194), np.int64(108), np.int64(253))
Birth: Speed: 5.50 | Color: (np.int64(212), np.int64(87), np.int64(225))
Birth: Speed: 0.85 | Color: (np.int64(217), np.int64(198), np.int64(82))
Birth: Speed: 1.04 | Color: (np.int64(221), np.int64(201), np.int64(84))
Birth: Speed: 8.00 | Color: (np.int64(124), np.int64(163), np.int64(103))
Birth: Speed: 2.66 | Color: (np.int64(120), np.int64(125), np.int64(50))
Birth: Speed: 1.87 | Color: (np.int64(175), np.int64(55), np.int64(198))
Birth: Speed: 3.68 | Color: (np.int64(89), np.int64(211), np.int64(143))
